filename, language, JavaScript, Dockerfile, Markdown, Shell Script, Ignore, JSON, YAML, Vue, HTML, XML, comment, blank, total
/Users/csparrow/Dev/team-builder/client/src/components/Stores/StoresByIdAddItem.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 610, 0, 0, 0, 35, 645
/Users/csparrow/Dev/team-builder/client/src/components/Stores/StoresByIdEdit.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 404, 0, 0, 0, 12, 416
/Users/csparrow/Dev/team-builder/client/src/components/Stores/StoresIndex.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 7, 215
/Users/csparrow/Dev/team-builder/client/src/components/Teams/TeamsAdd.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 778, 0, 0, 0, 18, 796
/Users/csparrow/Dev/team-builder/client/src/components/Teams/TeamsAddMember.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 9, 134
/Users/csparrow/Dev/team-builder/client/src/components/Teams/TeamsById.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 516, 0, 0, 0, 30, 546
/Users/csparrow/Dev/team-builder/client/src/components/Teams/TeamsByIdAddStore.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 409, 0, 0, 0, 11, 420
/Users/csparrow/Dev/team-builder/client/src/components/Teams/TeamsByIdEdit.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 651, 0, 0, 0, 15, 666
/Users/csparrow/Dev/team-builder/client/src/components/Teams/TeamsIndex.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 8, 201
/Users/csparrow/Dev/team-builder/client/src/components/Teams/TeamsRemoveMember.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 6, 144
/Users/csparrow/Dev/team-builder/client/src/components/TopNav.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 11, 103
/Users/csparrow/Dev/team-builder/client/src/helpers/interceptors.js, JavaScript, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
/Users/csparrow/Dev/team-builder/client/src/main.js, JavaScript, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
/Users/csparrow/Dev/team-builder/client/src/router.js, JavaScript, 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 355
/Users/csparrow/Dev/team-builder/client/src/store.js, JavaScript, 838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 841
/Users/csparrow/Dev/team-builder/client/src/views/Dashboard.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 7, 52
